item,IATA_airport_code,located_in_the_administrative_territorial_entity,located_in_the_administrative_territorial_entityLabel,coordinate_location,official_website,ICAO_airport_code,end_time,country,countryLabel
http://www.wikidata.org/entity/Q27268,URA,http://www.wikidata.org/entity/Q486007,West Kazakhstan Region,Point(51.543055555 51.150833333),http://www.oralairport.kz/,UARR,,http://www.wikidata.org/entity/Q232,Kazakhstan
http://www.wikidata.org/entity/Q27301,JDG,http://www.wikidata.org/entity/Q41164,Jeju Province,Point(126.713055555 33.398333333),,RKPD,,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q27546,GME,http://www.wikidata.org/entity/Q2678,Gomel,Point(31.016666666 52.526944444),http://www.gomelavia.com/,UMGG,,http://www.wikidata.org/entity/Q184,Belarus
http://www.wikidata.org/entity/Q27706,HAM,http://www.wikidata.org/entity/Q1627,Hamburg-Nord,Point(9.991111 53.630278),http://www.hamburg-airport.de/,EDDH,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q27706,HAM,http://www.wikidata.org/entity/Q3928,Norderstedt,Point(9.991111 53.630278),http://www.hamburg-airport.de/,EDDH,,http://www.wikidata.org/entity/Q183,Germany
http://www.wikidata.org/entity/Q28461,SKT,http://www.wikidata.org/entity/Q3246527,Sambrial,Point(74.363888888 32.535555555),http://www.sial.com.pk,OPST,,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q28831,VII,http://www.wikidata.org/entity/Q33428,Vinh,Point(105.670833 18.736667),https://www.vietnamairport.vn/vinhairport/en/,VVVH,,http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q29104,MLE,http://www.wikidata.org/entity/Q1412352,Hulhulé Island,Point(73.529111 4.191833),https://macl.aero/,VRMM,,http://www.wikidata.org/entity/Q826,Maldives
http://www.wikidata.org/entity/Q29759,,http://www.wikidata.org/entity/Q13142,Fano,Point(13.02558056 43.82378333),,LIDF,,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q30524,QUB,http://www.wikidata.org/entity/Q48233,Wadi al Hayaa District,Point(12.8231 26.5672),,HLUB,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q30542,AKF,http://www.wikidata.org/entity/Q48200,Kufra District,Point(23.3133 24.1767),,HLKF,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q31569,MUX,http://www.wikidata.org/entity/Q4478,Punjab,Point(71.419166666 30.203333333),http://www.multaninternationalairport.com.pk,OPMT,,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q31580,LYP,http://www.wikidata.org/entity/Q4478,Punjab,Point(72.994722222 31.365),http://www.caapakistan.com.pk/timeline/fsbd/timeline-fsbd.aspx,OPFA,,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q31581,UET,http://www.wikidata.org/entity/Q163239,Balochistan,Point(66.93868 30.252145),,OPQT,,http://www.wikidata.org/entity/Q843,Pakistan
http://www.wikidata.org/entity/Q32159,SIN,http://www.wikidata.org/entity/Q1812824,Changi,Point(103.989444 1.359167),http://www.changiairport.com,WSSS,,http://www.wikidata.org/entity/Q334,Singapore
http://www.wikidata.org/entity/Q33130,SRX,http://www.wikidata.org/entity/Q26417,Sirte District,Point(16.595 31.063333333),,HLGD,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q36171,LAQ,http://www.wikidata.org/entity/Q35784,Al Bayda,Point(21.964166666 32.788611111),,HLLQ,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q36420,PVG,http://www.wikidata.org/entity/Q125378,Pudong,Point(121.805278 31.143333),https://www.shairport.com/index_enpdjc.html,ZSPD,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q36454,NRT,http://www.wikidata.org/entity/Q273798,Narita,Point(140.38845 35.7649),https://www.narita-airport.jp/,RJAA,,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q36460,MRU,http://www.wikidata.org/entity/Q3929,Port Louis,Point(57.683022222 -20.430027777),https://aml.mru.aero/,FIMP,,http://www.wikidata.org/entity/Q1027,Mauritius
http://www.wikidata.org/entity/Q38805,SBH,http://www.wikidata.org/entity/Q25362,Saint Barthélemy,Point(-62.843888888 17.904444444),,TFFJ,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q39164,BOO,http://www.wikidata.org/entity/Q221119,Bodø,Point(14.365277777 67.269166666),https://avinor.no/en/airport/bodo-airport/,ENBO,,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q39164,BOO,http://www.wikidata.org/entity/Q221119,Bodø,Point(14.36443 67.27121),https://avinor.no/en/airport/bodo-airport/,ENBO,,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q39164,BOO,http://www.wikidata.org/entity/Q221119,Bodø,Point(14.365277777 67.269166666),https://avinor.no/flyplass/bodo/,ENBO,,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q39164,BOO,http://www.wikidata.org/entity/Q221119,Bodø,Point(14.36443 67.27121),https://avinor.no/flyplass/bodo/,ENBO,,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q41292,MRA,http://www.wikidata.org/entity/Q131323,Misrata,Point(15.059722222 32.325555555),http://www.misurataairport.ly/,HLMS,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q41293,SEB,,,Point(14.472525 26.986963888),,HLLS,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q44553,BEN,http://www.wikidata.org/entity/Q4888033,Benina,Point(20.270833 32.0975),,HLLB,,http://www.wikidata.org/entity/Q1016,Libya
http://www.wikidata.org/entity/Q575865,MPL,http://www.wikidata.org/entity/Q753087,Mauguio,Point(3.959286111 43.578872222),http://www.montpellier.aeroport.fr,LFMT,,http://www.wikidata.org/entity/Q142,France
